surface_id,file_path,surface_type,current_role,active_or_reference,related_future_lane,potential_future_change,risk_level,protected_status,tests_required,implementation_readiness,notes
SIM-011,service/app.py::_primary_expert_answer,response-assembly,Assembles expert answer and fallback sections,runtime,"ALPHA-BREVITY-CONTROL-001; ALPHA-CLAIM-BOUNDARY-CALIBRATION-001",Possible future concise-caveat and no-invented-scaffold guardrails,high,candidate only after authorization,"unit tests; expert response golden tests; claim-boundary tests",verify,Likely seam but currently protected.
SIM-012,service/app.py::_expert_response,response-assembly,Builds expert response body,runtime,ALPHA-ANSWER-STRUCTURE-V2-001,Possible future structure normalization after API contract review,high,protected,"API schema tests; endpoint regression; golden response body tests",blocked,Can change /v1/solve response shape.
SIM-013,service/app.py::_expert_complexity,selection-logic,Classifies expert prompt complexity,runtime,ALPHA-SELECTIVE-EXPERT-ENGAGEMENT-PLANNING-001,Do not alter until gate criteria are approved,high,protected,"classification matrix tests; false-positive/false-negative tests",blocked,Can become selective engagement gate.
SIM-014,service/app.py::_mode_from_confidence,selection-logic,Selects clarify/block/answer mode from confidence assumptions and model set,runtime,ALPHA-SELECTIVE-EXPERT-ENGAGEMENT-PLANNING-001,Do not alter until diagnostics define criteria,high,protected,"mode-selection tests; safety tests; API fake-provider tests",blocked,Mode selection overlaps routing and safety.
SIM-015,alpha/solver/observability.py,solver-envelope,Wraps ToT solver and assembles diagnostics/envelope,runtime,"ALPHA-ANSWER-STRUCTURE-V2-001; ALPHA-CLAIM-BOUNDARY-CALIBRATION-001",Possible future modular envelope wording/shape helper,high,protected,"solver golden tests; SAFE-OUT fallback tests; replay/determinism tests",verify,Central modular response assembly surface.
SIM-016,alpha/reasoning/tot.py,reasoning-core,Deterministic Tree-of-Thought solver result,runtime,OUTPUT-DIFF-LIFT-VS-POLISH-DIAGNOSTIC-001,Avoid unless reasoning behavior is explicitly in scope,high,protected,"reasoning determinism tests; cache tests; scorer tests",blocked,Not needed for answer surface mapping.
SIM-017,alpha/policy/safe_out.py,policy,SAFE-OUT wrapper,runtime,ALPHA-CLAIM-BOUNDARY-CALIBRATION-001,Future safe wording only with explicit SAFE-OUT scope,high,protected,"policy SAFE-OUT tests; safe wording tests",blocked,Safety boundary.
SIM-018,alpha/policy/safe_out_sm.py,policy,SAFE-OUT state machine,runtime,ALPHA-CLAIM-BOUNDARY-CALIBRATION-001,Do not modify without SAFE-OUT spec,high,protected,"state machine tests; policy regression",blocked,Sensitive state behavior.
SIM-019,alpha/providers/safeout.py,provider-safeout,Allowlist provider failure body,runtime,ALPHA-CLAIM-BOUNDARY-CALIBRATION-001,Do not modify in Alpha answer-surface work,high,protected,"provider SAFE-OUT tests; redaction tests",blocked,Provider failure boundary.
SIM-020,alpha/providers/openai.py,provider-adapter,OpenAI provider execution adapter,runtime,none,None for implementation-surface behavior,high,protected,"provider contract tests; fake transport tests",blocked,Provider behavior must not change.
SIM-021,alpha/providers/base.py,provider-contract,Provider request/result/error dataclasses,runtime,none,None for this lane,high,protected,"provider contract tests; accounting tests",blocked,Contract surface for adapters.
SIM-022,alpha/adapters/openai.py,adapter,Local adapter layer for OpenAI-related behavior,runtime,none,None for this lane,high,protected,"adapter tests; secrets redaction tests",blocked,Provider-adjacent.
SIM-023,service/models/modelset_registry.py,model-config,Loads and validates model sets,runtime,none,None for this lane,high,protected,"modelset registry tests; config validation",blocked,Model configuration surface.
SIM-024,service/models/modelset_resolver.py,model-config,Resolves requested or tenant model set,runtime,none,None for this lane,high,protected,"modelset switcher tests; resolver tests",blocked,Changing can alter model selection.
SIM-025,service/config/model_sets.yaml,model-config,Model set definitions,runtime,none,None for this lane,high,protected,"modelset registry tests; config validation",blocked,Do not change model configuration.
SIM-026,alpha/core/router.py,routing,Core routing helper,runtime,ALPHA-SELECTIVE-EXPERT-ENGAGEMENT-PLANNING-001,None until routing authorized,high,protected,"routing tests; determinism tests",blocked,Routing protected.
SIM-027,alpha/router/progressive.py,routing,Progressive router,runtime,ALPHA-SELECTIVE-EXPERT-ENGAGEMENT-PLANNING-001,None until routing authorized,high,protected,"progressive router tests; integration tests",blocked,Routing protected.
SIM-028,alpha/router/agents_v12.py,routing,Agent ordering/routing support,runtime,ALPHA-SELECTIVE-EXPERT-ENGAGEMENT-PLANNING-001,None until routing authorized,high,protected,"router agent tests; determinism tests",blocked,Agent selection is high risk.
SIM-029,alpha/routing/router_v12.py,routing,Deterministic router v12 test/example helper,runtime/reference,ALPHA-SELECTIVE-EXPERT-ENGAGEMENT-PLANNING-001,None until routing authorized,high,protected,"router v12 tests; savings tests; confidence vote tests",blocked,Do not use for hidden engagement mode.
SIM-030,alpha/adapters/prompts.py,prompt-template,Deterministic local adapter prompt templates,runtime,ALPHA-ANSWER-STRUCTURE-V2-001,Possible future local prompt wording after approval,medium,candidate with approval,"prompt adapter tests; snapshot tests",refine,Small seam but can alter adapter behavior.
SIM-031,service/prompts/renderer.py,prompt-rendering,Loads/renders prompt decks and estimates token savings,runtime,ALPHA-BREVITY-CONTROL-001,Possible future prompt rendering tests or token estimate checks,medium,protected,"prompt rendering tests; template sanity tests",verify,Renderer changes may affect many decks.
SIM-032,service/prompts/selector.py,prompt-selection,Chooses prompt deck from context,runtime,ALPHA-SELECTIVE-EXPERT-ENGAGEMENT-PLANNING-001,Avoid selector changes until criteria approved,high,protected,"selector tests; deck choice matrix tests",blocked,Selector changes can become routing.
SIM-033,service/prompts/decks.yaml,prompt-deck,Prompt deck content,runtime,"ALPHA-BREVITY-CONTROL-001; ALPHA-ANSWER-STRUCTURE-V2-001",Possible future wording update after specs merge,medium,candidate with approval,"template sanity tests; prompt quality tests; golden output tests",refine,Behavior change if used in live path.
SIM-034,docs/evals/RESPONSE_QUALITY_RUBRIC.md,scoring-rubric,Official response quality rubric,reference/eval,none,None,high,protected,"rubric immutability check; diff review",blocked,Do not change scoring rubric.
SIM-035,docs/evals/LIFT_DECISION_RULE.md,eval-control,Official lift decision rule,reference/eval,OUTPUT-DIFF-LIFT-VS-POLISH-DIAGNOSTIC-001,None,high,protected,"eval control checks",blocked,Protected evaluation control.
SIM-036,docs/evals/BLIND_SCORING_PROCEDURE.md,eval-control,Blind scoring procedure,reference/eval,OUTPUT-DIFF-POST-IMPROVEMENT-RUN-001,None,high,protected,"eval procedure checks",blocked,Protected evaluation control.
SIM-037,docs/evals/ARTIFACT_PRESERVATION.md,eval-control,Artifact preservation policy,reference/eval,ALPHA-CLAIM-BOUNDARY-CALIBRATION-001,None,high,protected,"artifact preservation tests",blocked,Protected evaluation control.
SIM-038,docs/evals/templates/comparison_score_table_template.csv,eval-template,Comparison score table template,reference/eval,OUTPUT-DIFF-POST-IMPROVEMENT-RUN-001,None,high,protected,"template sanity tests",blocked,Do not alter scoring templates in this lane.
SIM-039,docs/evals/runs/20260603-batch-b-pilot-alpha-vs-plain/score-table.csv,scored-artifact,Batch B official score table,committed evidence,none,None,high,protected,"score math recompute only; no edits",blocked,Batch B preserved evidence.
SIM-040,docs/evals/runs/20260602-eval-differentiation-run-001-alpha-vs-plain/score-table.csv,scored-artifact,A3-1 official score table,committed evidence,none,None,high,protected,"score math recompute only; no edits",blocked,A3-1 preserved evidence.
SIM-041,.specs/ALPHA-BREVITY-CONTROL-001.md,spec,Planning spec for brevity control,reference,ALPHA-BREVITY-CONTROL-001,None in this lane,medium,protected by concurrency boundary,"presence check; non-claim scan",ready,Do not modify concurrently.
SIM-042,docs/evals/runs/20260603-batch-b-pilot-alpha-vs-plain/lift-vs-polish-diagnostic-plan.md,planning-artifact,Lift-vs-polish diagnostic plan,reference,OUTPUT-DIFF-LIFT-VS-POLISH-DIAGNOSTIC-001,None in this lane,medium,protected by concurrency boundary,"presence check; no edits",ready,Planning evidence only.
SIM-043,docs/evals/runs/20260603-batch-b-pilot-alpha-vs-plain/selective-expert-engagement-plan.md,planning-artifact,Selective engagement planning memo,reference,ALPHA-SELECTIVE-EXPERT-ENGAGEMENT-PLANNING-001,None in this lane,medium,protected by concurrency boundary,"presence check; no edits",verify,Planning evidence only.
SIM-044,docs/evals/runs/20260603-batch-b-pilot-alpha-vs-plain/claim-boundary-calibration-plan.md,planning-artifact,Claim-boundary calibration plan,reference,ALPHA-CLAIM-BOUNDARY-CALIBRATION-001,None in this lane,medium,protected by concurrency boundary,"presence check; no edits",ready,Planning evidence only.
SIM-045,tests/test_api_endpoints.py,test,API endpoint regression tests,test-only,"ALPHA-ANSWER-STRUCTURE-V2-001; ALPHA-SELECTIVE-EXPERT-ENGAGEMENT-PLANNING-001",Future offline response-shape tests if API behavior approved,medium,candidate tests only,"pytest tests/test_api_endpoints.py with fake providers",verify,Do not call live providers.
SIM-046,tests/providers/test_openai_live_smoke.py,test,Optional gated live provider smoke test,test-only,none,None for planning or offline implementation,high,protected/do not run,"not run in planning; gated live only",blocked,Excluded by no-live-provider boundary.
SIM-047,tests/providers/test_provider_contract.py,test,Provider contract tests,test-only,none,Regression only if provider-adjacent code somehow changes,medium,protected,"pytest provider contract tests",verify,Useful guard but provider changes are out of scope.
SIM-048,tests/policy/test_safe_out.py,test,SAFE-OUT policy tests,test-only,ALPHA-CLAIM-BOUNDARY-CALIBRATION-001,Future safe wording regression coverage,medium,candidate tests only,"pytest policy SAFE-OUT tests",verify,Do not change policy behavior without explicit scope.
SIM-049,tests/reasoning/test_tot_solver.py,test,ToT solver regression tests,test-only,OUTPUT-DIFF-LIFT-VS-POLISH-DIAGNOSTIC-001,Regression only if solver behavior changes later,medium,protected,"pytest reasoning solver tests",verify,Reasoning internals out of scope now.
SIM-050,tests/test_eval_differentiation_run_001.py,test,Eval artifact guard tests,test-only,OUTPUT-DIFF-POST-IMPROVEMENT-RUN-001,Future evidence-preservation regression,medium,candidate tests only,"pytest eval differentiation tests",ready,Useful safe docs/eval check.
SIM-051,tests/test_output_diff_measurement_hardening.py,test,Output diff measurement guard tests,test-only,OUTPUT-DIFF-LIFT-VS-POLISH-DIAGNOSTIC-001,Future measurement hardening regression,medium,candidate tests only,"pytest measurement hardening tests",ready,No provider calls expected.
SIM-052,.env.example,config,Environment expectation example,reference,none,None,high,protected,"check_env smoke only if config changes",blocked,Do not introduce or use secrets.
SIM-053,scripts/check_env.py,script,Environment validation script,runtime/support,none,None,high,protected,"python scripts/check_env.py only if config changes",blocked,Do not alter in this lane.
SIM-054,service/adapters/gsheets_adapter.py,integration,Sheet adapter,integration,none,None,high,protected,"adapter tests only if integration changes",blocked,Google Sheet updates are out of scope.
