item_id,title,lane_id,status,group,controlling_pr,controlling_packet,selected_next_lane,evidence_state,deferrals_affected,blocked_by,next_action,owner,risk_level,archive_status,notes
PR-534,Mark provider cost caps partial,ALPHA-SOLVER-DEF-002-PROVIDER-COST-CAPS-STOP-CONTROL-001,Current,Current,#534,docs/evals/runs/alpha-solver-def-002-provider-cost-caps-stop-control-001/,Cost cap residual/accuracy follow-up,Fake-provider cost caps and stop controls evidence; verdict partial,DEF-002,exact billing/public exposure proof not complete,Keep current/partial until residuals closed or accepted,security + finops owner,High,Keep active,Do not treat as exact billing accuracy or public readiness
PR-536,Mark data classification reconciliation partial,ALPHA-SOLVER-DEF-002-DATA-CLASSIFICATION-REGISTRY-RECONCILIATION-001,Current,Current,#536,docs/evals/runs/alpha-solver-def-002-data-classification-registry-reconciliation-001/,ALPHA-SOLVER-DEF-002-DATA-CLASSIFICATION-RUNTIME-MIGRATION-001,Canonical policy precedence captured; runtime migration remains,DEF-002,runtime classification enforcement not migrated; broad validation incident retained,Keep current/partial; add runtime migration follow-up,security + runtime owner,Medium,Keep active,Do not claim full runtime enforcement or DEF-002 closure
NEXT-001,Confirm next repo-global lane selection,LOCAL-OPENAI-TOKEN-SMOKE-CAPTURE-RETRY-002-AUTHORIZATION-REFRESH or operator-approved DEF-002 closeout pivot,Next,Next,#527 plus later DEF-002 PRs,docs/CURRENT_STATE.md; docs/LANE_REGISTRY.md; docs/evals/runs/local-openai-token-smoke-capture-retry-002/,Operator decision required if changing global next,"Repo docs still preserve smoke authorization as global selected next, while DEF-002 packets name local follow-ups",DEF-002,operator must choose strategic focus,Do not auto-change global next lane in sheet without operator confirmation,operator,High,Keep active,Use OPD-001; this CSV row mirrors the Markdown Next row
PR-520,Mark value experiment pilot prep blocked,ALPHA-SOLVER-VALUE-EXPERIMENT-EXECUTION-PILOT-001,Blocked,Blocked by operator,#520,docs/evals/runs/alpha-solver-value-experiment-execution-pilot-001/,ALPHA-SOLVER-VALUE-EXPERIMENT-PILOT-AUTHORIZATION-001,Prep only; pilot not executed; no results,None,provider smoke/no-echo/preregistration/operator authorization missing,Keep blocked; do not count as value evidence,operator + eval owner,Medium,Keep active blocked,Explicitly record no provider calls and no value claim
PR-522,Mark public exposure readiness gate no-go captured,ALPHA-SOLVER-PUBLIC-EXPOSURE-READINESS-GATE-001,Blocked,Blocked by operator,#522,docs/evals/runs/alpha-solver-public-exposure-readiness-gate-001/,ALPHA-SOLVER-DEF-002-DEFAULT-CREDENTIALS-HARDENING-001,Gate captured; public exposure is NO-GO,DEF-001;DEF-002,DEF-002 open; operator approval missing; blockers remain,Keep public exposure blocked; do not mark readiness,operator + security owner,High,Keep active blocked,"If sheet has public/MVP/runtime readiness rows, mark blocked/no-go not current"
PR-525,Add no-echo substantive generation gate result,ALPHA-SOLVER-NO-ECHO-SUBSTANTIVE-GENERATION-GATE-001,Blocked,Blocked by operator,#525,docs/evals/runs/alpha-solver-no-echo-substantive-generation-gate-001/,ALPHA-SOLVER-PROMPT-CONSUMPTION-WIRING-FIX-001,No-echo gate identified prompt echo/substantive generation blocker,Value,None or prompt wiring gap,Keep value/runtime execution blocked pending wiring fix and rerun,eval owner,High,Keep active blocked,Blocks value pilot/runtime discrimination claims
PR-527,Keep OpenAI smoke retry 002 blocked/control evidence,LOCAL-OPENAI-TOKEN-SMOKE-CAPTURE-RETRY-002,Blocked,Blocked by operator,#527,docs/evals/runs/local-openai-token-smoke-capture-retry-002/,LOCAL-OPENAI-TOKEN-SMOKE-CAPTURE-RETRY-002-AUTHORIZATION-REFRESH,Blocked preflight; provider calls 0; tokens 0; cost $0.00,None,explicit operator authorization fields missing,Keep blocked; collect authorization before any provider call,operator,High,Keep active blocked,Preserve no-provider/no-token boundary
PR-529,Add manual discrimination value-read design packet,ALPHA-SOLVER-MANUAL-DISCRIMINATION-VALUE-READ-001,Blocked,Blocked by operator,#529,docs/evals/runs/alpha-solver-manual-discrimination-value-read-001/,ALPHA-SOLVER-PROMPT-CONSUMPTION-WIRING-FIX-001,Design packet captured; runtime and simulation not run; no scores or value results,Value,no-echo proof missing; operator/provider authorization missing,Keep as value-read preparation only; do not count as value evidence or Alpha superiority,operator + eval owner,High,Keep active blocked,"STOP_INCONCLUSIVE; no provider calls, no runtime run, no blind scoring"
PROVIDER-001,First real OpenAI/provider smoke remains not executed,LOCAL-OPENAI-TOKEN-SMOKE-CAPTURE-RETRY-002-AUTHORIZATION-REFRESH,Blocked,Blocked by provider/account setup,#512; #527,docs/evals/runs/openai-project-billing-boundary-attestation-retry-001/; docs/evals/runs/local-openai-token-smoke-capture-retry-002/,Authorization refresh before any provider call,"Project/billing boundary attested, but retry 002 blocked before call due to missing explicit authorization fields",None,operator authorization fields and provider/account execution setup,"Capture explicit model, project boundary, cost cap, token cap, max run count, and synthetic fixture",operator,High,Keep active blocked,"No provider calls, tokens, or cost have been recorded for retry 002; this CSV row mirrors the Markdown provider/account blocker row"
PR-523,Add incident response rollback minimums as blocker input,ALPHA-SOLVER-INCIDENT-RESPONSE-ROLLBACK-MINIMUMS-001,Add,Add,#523,docs/evals/runs/alpha-solver-incident-response-rollback-minimums-001/,Operator/public exposure approval sequence,Minimums captured for future exposure planning,DEF-002,public exposure approval and remaining gates,Add row if sheet lacks incident response/rollback,operator + ops owner,Medium,Keep active,No deployment or exposure occurred
PR-531,Add discrimination-layer demo pack captured not executed,ALPHA-SOLVER-DISCRIMINATION-LAYER-DEMO-PACK-001,Add,Add,#531,docs/evals/runs/alpha-solver-discrimination-layer-demo-pack-001/,ALPHA-SOLVER-DISCRIMINATION-LAYER-DEMO-RUN-001,"Docs-only demo scenarios and presenter script captured; not executed, scored, benchmarked, or validated",Value,operator execution authorization; mode selection; scoring and claim-boundary approval,Add claim-safe demo-pack row; require separate authorized demo run before evidence claims,operator + eval owner,Medium,Keep active until run decision,Do not present scenarios or baseline failure modes as observed evidence
BACKLOG-001,Add final backlog sync plan packet,ALPHA-SOLVER-BACKLOG-FINAL-SYNC-PLAN-001,Add,Add,current PR,docs/evals/runs/alpha-solver-backlog-final-sync-plan-001/,Operator paste/reconcile,Paste-ready sync plan captured from repo evidence only,None,actual Google Sheet state not provided,Operator compares sheet and pastes accepted rows,operator,Low,Keep active until pasted,This row itself should not claim sheet was inspected
SPLIT-001,Split DEF-002 master row into remediation/residual subrows,DEF-002-SHEET-SPLIT-001,Split or merge,Split or merge,#513-#537,multiple DEF-002 packets,DEF-002 closeout or risk acceptance,Single DEF-002 row is too coarse after multiple remediation PRs,DEF-002,remaining partials/residuals/operator acceptance,Split into RR-01/RR-02/RR-03/RR-05/RR-09/cost/supply-chain/residual rows,operator + security owner,Medium,Keep active,Do not mark DEF-002 Done until all closure evidence or accepted deferrals exist
PR-524,Mark dependency supply-chain gate captured partial,ALPHA-SOLVER-DEF-002-DEPENDENCY-SUPPLY-CHAIN-GATE-001,Need operator decision,Need operator decision,#524,docs/evals/runs/alpha-solver-def-002-dependency-supply-chain-gate-001/,ALPHA-SOLVER-DEF-002-DEPENDENCY-SUPPLY-CHAIN-LOCK-HASH-SBOM-DECISION-001,Provenance/update policy captured; lock/hash/SBOM decision remains,DEF-002,operator decision on lockfile/hash/SBOM strategy,Add operator decision row,operator + security owner,Medium,Keep active,Do not mark supply-chain complete unless decision/closure exists
PR-530,Add MVP readiness scorecard captured with operator decision required,ALPHA-SOLVER-MVP-READINESS-SCORECARD-001,Need operator decision,Need operator decision,#530,docs/evals/runs/alpha-solver-mvp-readiness-scorecard-001/,LOCAL-OPENAI-TOKEN-SMOKE-CAPTURE-RETRY-002-AUTHORIZATION-REFRESH,Internal scorecard captured; current evidence does not support MVP/public/production/provider/value readiness claims,DEF-001;DEF-002;Value,operator authorization for smoke; no value/no-echo evidence; public/security blockers,Use as internal decision aid; do not mark MVP ready,operator,High,Keep active decision,Verdict MVP_SCORECARD_CAPTURED_OPERATOR_DECISION_REQUIRED
PR-537,Track /v1/solve auth tenancy partial remediation residuals,ALPHA-SOLVER-DEF-002-V1-SOLVE-AUTH-TENANCY-CLOSURE-001,Need operator decision,Need operator decision,#537,docs/evals/runs/alpha-solver-def-002-v1-solve-auth-tenancy-closure-001/,New operator/security-approved /v1/solve identity-tenancy lane if exposure is pursued,Verdict DEF_002_V1_SOLVE_PARTIAL_REMEDIATION; local-only tests captured but identity and tenancy model remain unresolved,DEF-002,JWT/key-to-tenant binding decision; TenantMiddleware mounting decision; JWTAuthMiddleware mounting decision; gateway/operator exposure controls,Do not mark RR-09 Done; record partial remediation and require operator/security decision before any /v1/solve exposure claim,operator + security owner,High,Keep active residual,"Does not close /v1/solve readiness, public readiness, security/privacy completion, or DEF-002"
DEFER-001,Keep public exposure runtime readiness provider validation forbidden,FORBIDDEN-CLAIMS-GATE,Deferred or forbidden,Deferred or forbidden,#522,docs/evals/runs/alpha-solver-public-exposure-readiness-gate-001/,None,Current repo evidence forbids readiness/provider/value claims,DEF-001;DEF-002,public gate no-go; provider smoke/value prerequisites missing,Mark public/runtime/provider readiness rows forbidden/deferred,operator,High,Do not run,No public API dashboard /v1/solve deployment or provider validation authorized
